sample_id,method,median_seconds,min_seconds,max_seconds,common_preprocess_median_seconds,fixed_graph_end_to_end_median_seconds,warmup_python_peak_bytes,endpoint_optimizations
controlled-v1/split_merge_shared_targets/06,BOUNDED_REACHABILITY,0.00013219998800195754,0.00012910000805277377,0.00048750000132713467,5.050000618211925e-05,0.00018269999418407679,13080,0
controlled-v1/split_merge_shared_targets/06,POISON,0.0005223999905865639,0.00014400000509340316,0.0006146000087028369,5.050000618211925e-05,0.0005728999967686832,13501,0
controlled-v1/split_merge_shared_targets/06,HAIRCUT,0.0007112000021152198,0.00043729999742936343,0.0007594000053359196,5.050000618211925e-05,0.0007617000082973391,25116,0
controlled-v1/split_merge_shared_targets/07,BALANCE_INFORMATION_REMOVED,0.034957900003064424,0.029157500001019798,0.037353399995481595,7.6299998909235e-05,0.03503420000197366,68493,6
controlled-v1/split_merge_shared_targets/07,FULL_INTERVAL,0.03370129999530036,0.032383199999458157,0.04087849998904858,7.6299998909235e-05,0.033777599994209595,66833,6
controlled-v1/split_merge_shared_targets/07,BOUNDED_REACHABILITY,0.0005189999938011169,0.000458399998024106,0.0006624999950872734,7.6299998909235e-05,0.0005952999927103519,14325,0
controlled-v1/split_merge_shared_targets/07,POISON,0.0003530999965732917,0.00018050000653602183,0.0005027000006521121,7.6299998909235e-05,0.0004293999954825267,14789,0
controlled-v1/split_merge_shared_targets/07,HAIRCUT,0.000694399990607053,0.0006073000113246962,0.0007553000032203272,7.6299998909235e-05,0.000770699989516288,25209,0
controlled-v1/split_merge_shared_targets/07,NO_CROSS_TARGET_COUPLING,0.02436919999308884,0.023866100003942847,0.026396099987323396,7.6299998909235e-05,0.024445499991998076,90344,4
controlled-v1/split_merge_shared_targets/07,NO_PROTOCOL_CONTINUATION,0.03982010000618175,0.030230499993194826,0.0403294999996433,7.6299998909235e-05,0.03989640000509098,66603,6
controlled-v1/split_merge_shared_targets/08,NO_PROTOCOL_CONTINUATION,0.032577000005403534,0.030974699999205768,0.040212799998698756,1.4299992471933365e-05,0.03259129999787547,68068,6
controlled-v1/split_merge_shared_targets/08,BALANCE_INFORMATION_REMOVED,0.03106929999194108,0.02823280000302475,0.033251600005314685,1.4299992471933365e-05,0.031083599984413013,71362,6
